Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,SiteEnergyUse(kBtu)
47.6122,-122.33799,88434.0,0.0,0.0,100.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,12,Hotel,None,None,Compliant,89,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),7226362.5
47.61317,-122.33393,83880.0,15064.0,4622.0,85.455,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,Parking,Restaurant,Compliant,20,NaturalGas(kBtu),Electricity(kBtu),None,8387933.0
47.61393,-122.3381,756493.0,0.0,0.0,79.425,NonResidential,Hotel,98101.0,7,Downtown,1.0,41,Hotel,None,None,Compliant,47,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),72587024.0
47.61412,-122.33664,61320.0,0.0,0.0,100.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,90,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),6794584.0
47.61375,-122.34047,123445.0,68009.0,0.0,64.688,NonResidential,Hotel,98121.0,7,Downtown,1.0,18,Hotel,Parking,Swimming Pool,Compliant,36,NaturalGas(kBtu),Electricity(kBtu),None,14172606.0
47.61623,-122.33657,88830.0,0.0,0.0,61.765,Nonresidential COS,Other,98101.0,7,Downtown,1.0,2,Police Station,None,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,12086616.0
47.6139,-122.33283,81352.0,0.0,0.0,100.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,None,None,Compliant,90,NaturalGas(kBtu),Electricity(kBtu),None,5758795.0
47.61327,-122.33136,102761.0,0.0,0.0,100.0,NonResidential,Other,98101.0,7,Downtown,1.0,8,Other - Entertainment/Public Assembly,None,None,Compliant,90,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),6298131.5
47.60294,-122.33263,163984.0,0.0,0.0,100.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,15,Hotel,None,None,Compliant,112,Electricity(kBtu),NaturalGas(kBtu),None,13723820.0
47.60695,-122.33414,133884.0,0.0,0.0,87.413,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,None,None,Compliant,47,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),16016644.0
47.60713,-122.33323,336640.0,0.0,0.0,81.643,NonResidential,Hotel,98101.0,7,Downtown,1.0,25,Hotel,None,None,Compliant,18,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),26941110.0
47.60699,-122.33346,65009.0,0.0,0.0,100.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,9,Hotel,None,None,Compliant,88,NaturalGas(kBtu),SteamUse(kBtu),Electricity(kBtu),6596057.5
47.60809,-122.33212,295511.0,57600.0,0.0,81.769,NonResidential,Hotel,98101.0,7,Downtown,1.0,33,Hotel,Parking,None,Compliant,36,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),22325364.0
47.60755,-122.33244,67390.0,25200.0,0.0,72.665,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,Parking,None,Compliant,94,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),10750010.0
47.60649,-122.33297,364913.0,49000.0,1074.0,86.165,Nonresidential COS,Other,98154.0,7,Downtown,1.0,11,Library,Parking,Data Center,Compliant,12,Electricity(kBtu),SteamUse(kBtu),None,18588860.0
47.60546,-122.33279,90000.0,40000.0,0.0,100.0,NonResidential,Other,98104.0,7,Downtown,1.0,6,Fitness Center/Health Club/Gym,Office,Swimming Pool,Compliant,86,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),9956396.0
47.60681,-122.33078,348329.0,85000.0,0.0,79.581,NonResidential,Hotel,98104.0,7,Downtown,1.0,28,Hotel,Parking,None,Compliant,33,Electricity(kBtu),NaturalGas(kBtu),None,33556756.0
47.60515,-122.33159,16442.0,15505.0,9741.0,100.0,NonResidential,Mixed Use Property,98104.0,7,Downtown,1.0,5,Social/Meeting Hall,Restaurant,Office,Compliant,109,Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu),7606084.5
47.60376,-122.33194,104352.0,0.0,0.0,100.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,100,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),10154608.0
47.60265,-122.33051,537150.0,0.0,0.0,100.0,NonResidential,Other,98104.0,7,Downtown,1.0,10,Courthouse,None,None,Compliant,100,Electricity(kBtu),NaturalGas(kBtu),None,44984468.0
47.60378,-122.32842,385274.0,0.0,0.0,100.0,NonResidential,Other,98104.0,3,Downtown,1.0,19,Other,None,None,Compliant,31,NaturalGas(kBtu),Electricity(kBtu),None,47859812.0
47.65959,-122.31755,58006.0,30586.0,0.0,65.475,NonResidential,Hotel,98105.0,4,Northeast,1.0,6,Hotel,Parking,None,Compliant,15,Electricity(kBtu),NaturalGas(kBtu),None,3663534.5
47.61816,-122.33629,125000.0,0.0,0.0,100.0,NonResidential,University,98121.0,7,Downtown,1.0,7,College/University,None,None,Compliant,88,NaturalGas(kBtu),Electricity(kBtu),None,11343686.0
47.615,-122.33081,67224.0,0.0,0.0,100.0,NonResidential,Other,98101.0,7,Downtown,1.0,2,Automobile Dealership,None,None,Compliant,86,Electricity(kBtu),None,None,1310236.625
47.61301,-122.32929,112676.0,42000.0,4500.0,80.904,NonResidential,Hotel,98101.0,7,East,1.0,8,Hotel,Parking,Retail Store,Compliant,25,NaturalGas(kBtu),Electricity(kBtu),None,5328051.5
47.61784,-122.32966,128909.0,0.0,0.0,77.726,NonResidential,Hotel,98101.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,15,Electricity(kBtu),NaturalGas(kBtu),None,11061916.0
47.61558,-122.34186,47994.0,0.0,0.0,76.319,NonResidential,Hotel,98121.0,7,Downtown,1.0,5,Hotel,None,None,Compliant,38,Electricity(kBtu),NaturalGas(kBtu),None,4456714.5
47.6641,-122.33118,40943.0,18153.0,4307.0,100.0,NonResidential,Small- and Mid-Sized Office,98070.0,4,Lake Union,1.0,3,Office,K-12 School,Other - Entertainment/Public Assembly,Compliant,110,NaturalGas(kBtu),Electricity(kBtu),None,4145920.5
47.66583,-122.29965,81871.0,0.0,0.0,100.0,NonResidential,Hotel,98105.0,4,Northeast,1.0,4,Hotel,None,None,Compliant,22,NaturalGas(kBtu),Electricity(kBtu),None,6668568.5
47.66172,-122.29598,26225.0,0.0,0.0,100.0,NonResidential,Self-Storage Facility,98105.0,4,Northeast,1.0,2,Self-Storage Facility,None,None,Compliant,61,Electricity(kBtu),NaturalGas(kBtu),None,318364.8125
47.51138,-122.28875,616000.0,276000.0,71000.0,100.0,NonResidential,Warehouse,98118.0,2,Greater Duwamish,3.0,2,Non-Refrigerated Warehouse,Refrigerated Warehouse,Office,Compliant,55,Electricity(kBtu),None,None,44731160.0
47.66587,-122.38476,55586.0,39314.0,0.0,100.0,NonResidential,Small- and Mid-Sized Office,98107.0,6,Ballard,1.0,2,Office,Non-Refrigerated Warehouse,None,Compliant,55,Electricity(kBtu),NaturalGas(kBtu),None,6186461.5
47.58034,-122.31132,51029.0,7849.0,0.0,100.0,NonResidential,Small- and Mid-Sized Office,98144.0,2,Greater Duwamish,1.0,2,Office,Other - Education,None,Compliant,116,Electricity(kBtu),NaturalGas(kBtu),None,2951331.25
47.68891,-122.33553,175015.0,0.0,0.0,100.0,NonResidential,K-12 School,98103.0,6,Northwest,1.0,3,K-12 School,None,None,Compliant,62,NaturalGas(kBtu),Electricity(kBtu),None,6994740.5
47.61351,-122.35129,38439.0,28197.0,3859.0,100.0,NonResidential,Self-Storage Facility,98121.0,7,Downtown,1.0,3,Self-Storage Facility,Vocational School,Office,Compliant,105,Electricity(kBtu),NaturalGas(kBtu),None,2158629.0
47.60946,-122.33337,348630.0,0.0,0.0,38.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,24,Hotel,None,None,Compliant,47,Electricity(kBtu),NaturalGas(kBtu),None,16163194.0
47.6113,-122.33659,103362.0,65676.0,493.0,100.0,NonResidential,Large Office,98101.0,7,Downtown,1.0,5,Office,Retail Store,Data Center,Compliant,43,Electricity(kBtu),None,None,9536161.0
47.61076,-122.33765,51747.0,5681.0,0.0,100.0,NonResidential,Other,98101.0,7,Downtown,1.0,2,Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",None,Compliant,96,Electricity(kBtu),NaturalGas(kBtu),None,1247362.0
47.61048,-122.33794,34947.0,4993.0,0.0,100.0,NonResidential,Small- and Mid-Sized Office,98101.0,7,Downtown,1.0,8,Office,Retail Store,None,Compliant,106,Electricity(kBtu),None,None,5071974.0
47.60886,-122.33744,23500.0,23500.0,5459.0,100.0,NonResidential,Mixed Use Property,98101.0,7,Downtown,1.0,2,Other - Entertainment/Public Assembly,Restaurant,Office,Compliant,90,NaturalGas(kBtu),Electricity(kBtu),None,15026196.0
47.61233,-122.33432,83591.0,10043.0,5000.0,89.818,NonResidential,Hotel,98101.0,7,Downtown,1.0,20,Hotel,Parking,Restaurant,Compliant,86,Electricity(kBtu),NaturalGas(kBtu),None,4841347.5
47.61087,-122.33339,994212.0,117668.0,0.0,85.245,NonResidential,Hotel,98101.0,7,Downtown,1.0,34,Hotel,Parking,Swimming Pool,Compliant,34,Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu),80469216.0
47.60997,-122.34138,41340.0,13730.0,9604.0,100.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,7,Hotel,Parking,Retail Store,Compliant,31,Electricity(kBtu),NaturalGas(kBtu),None,5348309.0
47.61155,-122.34114,88360.0,26450.0,8000.0,100.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,7,Hotel,Other - Entertainment/Public Assembly,Retail Store,Compliant,108,NaturalGas(kBtu),Electricity(kBtu),None,5401277.5
47.61986,-122.34413,70627.0,42546.0,0.0,62.406,NonResidential,Hotel,98109.0,7,Lake Union,1.0,5,Hotel,Parking,None,Compliant,57,Electricity(kBtu),NaturalGas(kBtu),None,5284343.5
47.62001,-122.34274,107547.0,3000.0,0.0,76.913,NonResidential,Hotel,98109.0,7,Lake Union,1.0,7,Hotel,Restaurant,None,Compliant,16,Electricity(kBtu),NaturalGas(kBtu),None,6715187.0
47.62025,-122.34314,88490.0,28300.0,0.0,75.752,NonResidential,Hotel,98109.0,7,Lake Union,1.0,6,Hotel,Parking,None,Compliant,19,Electricity(kBtu),NaturalGas(kBtu),None,5827595.5
47.62023,-122.35951,155602.0,0.0,0.0,76.386,NonResidential,Hotel,98119.0,7,Magnolia / Queen Anne,1.0,6,Hotel,None,None,Compliant,18,Electricity(kBtu),NaturalGas(kBtu),None,6836900.0
47.63442,-122.30793,56072.0,0.0,0.0,100.0,NonResidential,K-12 School,98136.0,3,East,1.0,3,K-12 School,None,None,Compliant,105,NaturalGas(kBtu),Electricity(kBtu),None,3234787.75
