Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),ENERGYSTARScore,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,TotalGHGEmissions
47.6122,-122.33799,88434.0,0.0,0.0,100.0,60.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,12,Hotel,None,None,Compliant,89,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),249.98
47.61317,-122.33393,83880.0,15064.0,4622.0,85.455,61.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,Parking,Restaurant,Compliant,20,NaturalGas(kBtu),Electricity(kBtu),None,295.86
47.61393,-122.3381,756493.0,0.0,0.0,79.425,43.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,41,Hotel,None,None,Compliant,47,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),2089.28
47.61412,-122.33664,61320.0,0.0,0.0,100.0,56.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,90,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),286.43
47.61375,-122.34047,123445.0,68009.0,0.0,64.688,75.0,NonResidential,Hotel,98121.0,7,Downtown,1.0,18,Hotel,Parking,Swimming Pool,Compliant,36,NaturalGas(kBtu),Electricity(kBtu),None,505.01
47.61623,-122.33657,88830.0,0.0,0.0,61.765,,Nonresidential COS,Other,98101.0,7,Downtown,1.0,2,Police Station,None,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,301.81
47.6139,-122.33283,81352.0,0.0,0.0,100.0,27.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,None,None,Compliant,90,NaturalGas(kBtu),Electricity(kBtu),None,176.14
47.61327,-122.33136,102761.0,0.0,0.0,100.0,,NonResidential,Other,98101.0,7,Downtown,1.0,8,Other - Entertainment/Public Assembly,None,None,Compliant,90,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),221.51
47.60294,-122.33263,163984.0,0.0,0.0,100.0,43.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,15,Hotel,None,None,Compliant,112,Electricity(kBtu),NaturalGas(kBtu),None,392.16
47.60695,-122.33414,133884.0,0.0,0.0,87.413,30.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,None,None,Compliant,47,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),691.26
47.60713,-122.33323,336640.0,0.0,0.0,81.643,36.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,25,Hotel,None,None,Compliant,18,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),740.97
47.60699,-122.33346,65009.0,0.0,0.0,100.0,48.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,9,Hotel,None,None,Compliant,88,NaturalGas(kBtu),SteamUse(kBtu),Electricity(kBtu),328.23
47.60809,-122.33212,295511.0,57600.0,0.0,81.769,58.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,33,Hotel,Parking,None,Compliant,36,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),648.62
47.60755,-122.33244,67390.0,25200.0,0.0,72.665,35.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,Parking,None,Compliant,94,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),511.39
47.60649,-122.33297,364913.0,49000.0,1074.0,86.165,,Nonresidential COS,Other,98154.0,7,Downtown,1.0,11,Library,Parking,Data Center,Compliant,12,Electricity(kBtu),SteamUse(kBtu),None,181.38
47.60546,-122.33279,90000.0,40000.0,0.0,100.0,,NonResidential,Other,98104.0,7,Downtown,1.0,6,Fitness Center/Health Club/Gym,Office,Swimming Pool,Compliant,86,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),433.86
47.60681,-122.33078,348329.0,85000.0,0.0,79.581,31.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,28,Hotel,Parking,None,Compliant,33,Electricity(kBtu),NaturalGas(kBtu),None,802.89
47.60515,-122.33159,16442.0,15505.0,9741.0,100.0,,NonResidential,Mixed Use Property,98104.0,7,Downtown,1.0,5,Social/Meeting Hall,Restaurant,Office,Compliant,109,Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu),273.02
47.60376,-122.33194,104352.0,0.0,0.0,100.0,39.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,100,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),349.32
47.60265,-122.33051,537150.0,0.0,0.0,100.0,76.0,NonResidential,Other,98104.0,7,Downtown,1.0,10,Courthouse,None,None,Compliant,100,Electricity(kBtu),NaturalGas(kBtu),None,1265.29
47.60378,-122.32842,385274.0,0.0,0.0,100.0,,NonResidential,Other,98104.0,3,Downtown,1.0,19,Other,None,None,Compliant,31,NaturalGas(kBtu),Electricity(kBtu),None,1699.45
47.65959,-122.31755,58006.0,30586.0,0.0,65.475,84.0,NonResidential,Hotel,98105.0,4,Northeast,1.0,6,Hotel,Parking,None,Compliant,15,Electricity(kBtu),NaturalGas(kBtu),None,90.01
47.61816,-122.33629,125000.0,0.0,0.0,100.0,,NonResidential,University,98121.0,7,Downtown,1.0,7,College/University,None,None,Compliant,88,NaturalGas(kBtu),Electricity(kBtu),None,388.04
47.615,-122.33081,67224.0,0.0,0.0,100.0,,NonResidential,Other,98101.0,7,Downtown,1.0,2,Automobile Dealership,None,None,Compliant,86,Electricity(kBtu),None,None,9.13
47.61301,-122.32929,112676.0,42000.0,4500.0,80.904,,NonResidential,Hotel,98101.0,7,East,1.0,8,Hotel,Parking,Retail Store,Compliant,25,NaturalGas(kBtu),Electricity(kBtu),None,256.57
47.61784,-122.32966,128909.0,0.0,0.0,77.726,57.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,15,Electricity(kBtu),NaturalGas(kBtu),None,328.63
47.61558,-122.34186,47994.0,0.0,0.0,76.319,57.0,NonResidential,Hotel,98121.0,7,Downtown,1.0,5,Hotel,None,None,Compliant,38,Electricity(kBtu),NaturalGas(kBtu),None,128.44
47.6641,-122.33118,40943.0,18153.0,4307.0,100.0,,NonResidential,Small- and Mid-Sized Office,98070.0,4,Lake Union,1.0,3,Office,K-12 School,Other - Entertainment/Public Assembly,Compliant,110,NaturalGas(kBtu),Electricity(kBtu),None,157.77
47.66583,-122.29965,81871.0,0.0,0.0,100.0,29.0,NonResidential,Hotel,98105.0,4,Northeast,1.0,4,Hotel,None,None,Compliant,22,NaturalGas(kBtu),Electricity(kBtu),None,215.0
47.66172,-122.29598,26225.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98105.0,4,Northeast,1.0,2,Self-Storage Facility,None,None,Compliant,61,Electricity(kBtu),NaturalGas(kBtu),None,3.93
47.51138,-122.28875,616000.0,276000.0,71000.0,100.0,,NonResidential,Warehouse,98118.0,2,Greater Duwamish,3.0,2,Non-Refrigerated Warehouse,Refrigerated Warehouse,Office,Compliant,55,Electricity(kBtu),None,None,311.84
47.66587,-122.38476,55586.0,39314.0,0.0,100.0,57.0,NonResidential,Small- and Mid-Sized Office,98107.0,6,Ballard,1.0,2,Office,Non-Refrigerated Warehouse,None,Compliant,55,Electricity(kBtu),NaturalGas(kBtu),None,130.56
47.58034,-122.31132,51029.0,7849.0,0.0,100.0,83.0,NonResidential,Small- and Mid-Sized Office,98144.0,2,Greater Duwamish,1.0,2,Office,Other - Education,None,Compliant,116,Electricity(kBtu),NaturalGas(kBtu),None,83.86
47.68891,-122.33553,175015.0,0.0,0.0,100.0,95.0,NonResidential,K-12 School,98103.0,6,Northwest,1.0,3,K-12 School,None,None,Compliant,62,NaturalGas(kBtu),Electricity(kBtu),None,247.85
47.61351,-122.35129,38439.0,28197.0,3859.0,100.0,,NonResidential,Self-Storage Facility,98121.0,7,Downtown,1.0,3,Self-Storage Facility,Vocational School,Office,Compliant,105,Electricity(kBtu),NaturalGas(kBtu),None,45.43
47.60946,-122.33337,348630.0,0.0,0.0,38.0,67.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,24,Hotel,None,None,Compliant,47,Electricity(kBtu),NaturalGas(kBtu),None,295.33
47.6113,-122.33659,103362.0,65676.0,493.0,100.0,78.0,NonResidential,Large Office,98101.0,7,Downtown,1.0,5,Office,Retail Store,Data Center,Compliant,43,Electricity(kBtu),None,None,66.48
47.61076,-122.33765,51747.0,5681.0,0.0,100.0,,NonResidential,Other,98101.0,7,Downtown,1.0,2,Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",None,Compliant,96,Electricity(kBtu),NaturalGas(kBtu),None,33.26
47.61048,-122.33794,34947.0,4993.0,0.0,100.0,14.0,NonResidential,Small- and Mid-Sized Office,98101.0,7,Downtown,1.0,8,Office,Retail Store,None,Compliant,106,Electricity(kBtu),None,None,35.36
47.60886,-122.33744,23500.0,23500.0,5459.0,100.0,,NonResidential,Mixed Use Property,98101.0,7,Downtown,1.0,2,Other - Entertainment/Public Assembly,Restaurant,Office,Compliant,90,NaturalGas(kBtu),Electricity(kBtu),None,584.31
47.61233,-122.33432,83591.0,10043.0,5000.0,89.818,71.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,20,Hotel,Parking,Restaurant,Compliant,86,Electricity(kBtu),NaturalGas(kBtu),None,59.19
47.61087,-122.33339,994212.0,117668.0,0.0,85.245,63.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,34,Hotel,Parking,Swimming Pool,Compliant,34,Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu),2451.58
47.60997,-122.34138,41340.0,13730.0,9604.0,100.0,98.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,7,Hotel,Parking,Retail Store,Compliant,31,Electricity(kBtu),NaturalGas(kBtu),None,134.38
47.61155,-122.34114,88360.0,26450.0,8000.0,100.0,99.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,7,Hotel,Other - Entertainment/Public Assembly,Retail Store,Compliant,108,NaturalGas(kBtu),Electricity(kBtu),None,227.18
47.61986,-122.34413,70627.0,42546.0,0.0,62.406,86.0,NonResidential,Hotel,98109.0,7,Lake Union,1.0,5,Hotel,Parking,None,Compliant,57,Electricity(kBtu),NaturalGas(kBtu),None,144.79
47.62001,-122.34274,107547.0,3000.0,0.0,76.913,84.0,NonResidential,Hotel,98109.0,7,Lake Union,1.0,7,Hotel,Restaurant,None,Compliant,16,Electricity(kBtu),NaturalGas(kBtu),None,199.95
47.62025,-122.34314,88490.0,28300.0,0.0,75.752,80.0,NonResidential,Hotel,98109.0,7,Lake Union,1.0,6,Hotel,Parking,None,Compliant,19,Electricity(kBtu),NaturalGas(kBtu),None,162.39
47.62023,-122.35951,155602.0,0.0,0.0,76.386,81.0,NonResidential,Hotel,98119.0,7,Magnolia / Queen Anne,1.0,6,Hotel,None,None,Compliant,18,Electricity(kBtu),NaturalGas(kBtu),None,152.76
47.63442,-122.30793,56072.0,0.0,0.0,100.0,76.0,NonResidential,K-12 School,98136.0,3,East,1.0,3,K-12 School,None,None,Compliant,105,NaturalGas(kBtu),Electricity(kBtu),None,146.34
47.62519,-122.34456,78051.0,44891.0,0.0,63.486,94.0,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,4,Hotel,Parking,None,Compliant,17,NaturalGas(kBtu),Electricity(kBtu),None,171.64
47.60823,-122.30956,54984.0,0.0,0.0,100.0,71.0,NonResidential,Small- and Mid-Sized Office,98122.0,3,Central,1.0,2,Office,None,None,Compliant,54,Electricity(kBtu),NaturalGas(kBtu),None,87.98
47.55837,-122.37751,296313.0,0.0,0.0,100.0,54.0,NonResidential,Senior Care Community,98126.0,1,Southwest,1.0,5,Senior Care Community,Parking,None,Compliant,94,NaturalGas(kBtu),Electricity(kBtu),None,1727.11
47.72426,-122.35599,93397.0,0.0,0.0,100.0,1.0,NonResidential,Senior Care Community,98133.0,5,Northwest,1.0,2,Senior Care Community,None,None,Compliant,46,NaturalGas(kBtu),Electricity(kBtu),None,609.1
47.61988,-122.33211,63371.0,20732.0,0.0,75.349,74.0,NonResidential,Hotel,98109.0,7,Lake Union,1.0,6,Hotel,Parking,None,Compliant,8,Electricity(kBtu),NaturalGas(kBtu),None,67.06
47.60898,-122.32693,76631.0,0.0,0.0,100.0,71.0,NonResidential,Hotel,98104.0,3,East,1.0,7,Hotel,None,None,Compliant,108,NaturalGas(kBtu),Electricity(kBtu),None,262.75
47.60845,-122.32637,40174.0,20868.0,17020.0,90.638,,NonResidential,Mixed Use Property,98104.0,3,East,1.0,6,Medical Office,Parking,Office,Compliant,33,Electricity(kBtu),SteamUse(kBtu),None,481.97
47.62237,-122.33805,72072.0,0.0,0.0,100.0,96.0,NonResidential,Retail Store,98109.0,7,Lake Union,1.0,2,Retail Store,None,None,Compliant,87,NaturalGas(kBtu),Electricity(kBtu),None,39.06
47.62424,-122.33646,261826.0,150726.0,15139.0,100.0,96.0,NonResidential,Large Office,98109.0,7,Lake Union,1.0,5,Office,Parking,Other,Compliant,6,Electricity(kBtu),NaturalGas(kBtu),None,138.85
47.62642,-122.33325,235788.0,51537.0,0.0,84.174,37.0,NonResidential,Hotel,98109.0,3,Lake Union,1.0,7,Hotel,Parking,None,Compliant,26,Electricity(kBtu),NaturalGas(kBtu),None,526.85
47.62208,-122.35398,368000.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,1,Other,None,None,Compliant,54,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),607.41
47.62208,-122.35398,65000.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,1,Other,None,None,Compliant,54,SteamUse(kBtu),Electricity(kBtu),None,344.2
47.62208,-122.35398,278500.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,5,Other,None,None,Compliant,78,SteamUse(kBtu),Electricity(kBtu),None,804.2
47.62112,-122.33629,598801.0,310699.0,26203.0,100.0,91.0,NonResidential,Large Office,98109.0,7,Lake Union,1.0,12,Office,Parking,Other,Compliant,6,Electricity(kBtu),NaturalGas(kBtu),None,617.52
47.62395,-122.35077,52000.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,2,Other,None,None,Compliant,54,Electricity(kBtu),SteamUse(kBtu),None,101.83
47.62395,-122.35077,108000.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,1,Other,None,None,Compliant,88,Electricity(kBtu),None,None,6.11
47.62395,-122.35143,296000.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,2,Other,None,None,Compliant,88,Electricity(kBtu),SteamUse(kBtu),None,490.73
47.62419,-122.34443,729584.0,185014.0,6000.0,67.01,93.0,NonResidential,Large Office,98109.0,7,Magnolia / Queen Anne,1.0,6,Office,Parking,Other,Compliant,6,Electricity(kBtu),NaturalGas(kBtu),None,674.09
47.62053,-122.35842,48546.0,21454.0,2406.0,65.977,68.0,NonResidential,Small- and Mid-Sized Office,98033.0,7,Magnolia / Queen Anne,1.0,4,Office,Parking,Other,Compliant,46,Electricity(kBtu),NaturalGas(kBtu),None,48.76
47.62291,-122.35708,59976.0,36934.0,0.0,61.888,56.0,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,6,Hotel,Parking,None,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,152.14
47.65772,-122.31756,50017.0,0.0,0.0,100.0,53.0,NonResidential,Hotel,98105.0,4,Northeast,2.0,4,Hotel,Swimming Pool,None,Compliant,54,NaturalGas(kBtu),Electricity(kBtu),None,191.2
47.62548,-122.30828,67743.0,0.0,0.0,100.0,34.0,NonResidential,K-12 School,98112.0,3,East,1.0,3,K-12 School,None,None,Compliant,93,Electricity(kBtu),NaturalGas(kBtu),None,78.85
47.62644,-122.30429,194104.0,0.0,0.0,100.0,100.0,NonResidential,K-12 School,98112.0,3,East,1.0,6,K-12 School,None,None,Compliant,108,NaturalGas(kBtu),Electricity(kBtu),None,243.23
47.58408,-122.30125,63681.0,35752.0,0.0,64.044,63.0,NonResidential,Small- and Mid-Sized Office,98144.0,3,Southeast,1.0,3,Office,Parking,None,Compliant,13,Electricity(kBtu),None,None,34.14
47.67524,-122.31534,49000.0,0.0,0.0,100.0,,NonResidential,Other,98115.0,4,Northeast,1.0,4,Other,None,None,Compliant,75,Electricity(kBtu),None,None,44.32
47.67559,-122.31769,119146.0,0.0,0.0,100.0,,NonResidential,Other,98115.0,4,Northeast,1.0,2,Other,Parking,None,Compliant,87,NaturalGas(kBtu),Electricity(kBtu),None,133.58
47.73141,-122.3458,51390.0,0.0,0.0,100.0,89.0,NonResidential,Hotel,98133.0,5,Northwest,1.0,4,Hotel,Parking,None,Compliant,15,NaturalGas(kBtu),Electricity(kBtu),None,127.29
47.72551,-122.3423,70609.0,0.0,0.0,100.0,78.0,NonResidential,Hotel,98133.0,5,Northwest,1.0,3,Hotel,None,None,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,89.02
47.6048,-122.3368,190980.0,19051.0,0.0,100.0,98.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,5,Hotel,Parking,None,Compliant,112,Electricity(kBtu),NaturalGas(kBtu),None,142.39
47.60804,-122.3367,189750.0,0.0,0.0,100.0,,Nonresidential COS,Other,98111.0,7,Downtown,1.0,6,Other - Entertainment/Public Assembly,None,None,Compliant,18,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),429.12
47.60112,-122.32785,42755.0,29219.0,0.0,100.0,,Nonresidential COS,Other,98104.0,2,Downtown,1.0,4,Other,Office,None,Compliant,10,Electricity(kBtu),NaturalGas(kBtu),None,176.75
47.59809,-122.32283,58000.0,0.0,0.0,81.022,,NonResidential,Other,98104.0,2,Downtown,1.0,4,Museum,None,None,Compliant,106,Electricity(kBtu),NaturalGas(kBtu),None,46.26
47.62614,-122.3467,113702.0,32692.0,0.0,91.247,76.0,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,4,Hotel,Parking,None,Compliant,20,Electricity(kBtu),NaturalGas(kBtu),None,228.4
47.61495,-122.32177,64820.0,0.0,0.0,100.0,,NonResidential,University,98122.0,3,East,1.0,3,College/University,None,None,Compliant,101,Electricity(kBtu),NaturalGas(kBtu),None,74.33
47.67828,-122.26456,92300.0,4944.0,0.0,100.0,,NonResidential,Small- and Mid-Sized Office,98115.0,4,Northeast,1.0,2,Office,Data Center,None,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,222.02
47.59545,-122.32146,68359.0,0.0,0.0,100.0,,Nonresidential COS,Other,98134.0,2,Greater Duwamish,1.0,1,"Repair Services (Vehicle, Shoe, Locksmith, etc)",None,None,Compliant,66,Electricity(kBtu),NaturalGas(kBtu),None,204.08
47.53827,-122.28406,25765.0,25000.0,0.0,100.0,,NonResidential,Small- and Mid-Sized Office,98118.0,2,Greater Duwamish,1.0,1,Office,Other,None,Compliant,58,Electricity(kBtu),NaturalGas(kBtu),None,61.21
47.53722,-122.284,46483.0,37938.0,4579.0,100.0,,NonResidential,Other,98118.0,2,Greater Duwamish,1.0,5,Other - Lodging/Residential,Office,Food Service,Compliant,7,NaturalGas(kBtu),Electricity(kBtu),None,100.46
47.65147,-122.36122,52611.0,0.0,0.0,100.0,,NonResidential,University,98119.0,7,Magnolia / Queen Anne,1.0,2,College/University,None,None,Compliant,36,Electricity(kBtu),NaturalGas(kBtu),None,104.26
47.65068,-122.36331,135520.0,0.0,0.0,73.138,89.0,NonResidential,Residence Hall,98119.0,7,Magnolia / Queen Anne,1.0,4,Residence Hall/Dormitory,None,None,Compliant,15,Electricity(kBtu),NaturalGas(kBtu),None,129.39
47.60462,-122.31549,137565.0,78357.0,0.0,100.0,,NonResidential,Other,98122.0,3,Central,3.0,6,Other,Courthouse,None,Compliant,45,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),422.39
47.61598,-122.33448,250000.0,0.0,0.0,77.118,,NonResidential,Other,98101.0,7,Downtown,1.0,11,Other,None,None,Compliant,12,NaturalGas(kBtu),Electricity(kBtu),None,2055.82
47.536,-122.31768,30000.0,15000.0,9015.0,100.0,21.0,NonResidential,Small- and Mid-Sized Office,98108.0,2,Greater Duwamish,1.0,3,Office,Non-Refrigerated Warehouse,Other - Services,Compliant,9,Electricity(kBtu),NaturalGas(kBtu),None,49.58
47.70759,-122.3255,505103.0,24936.0,0.0,100.0,98.0,NonResidential,Retail Store,98125.0,5,North,1.0,1,Retail Store,Restaurant,None,Compliant,65,Electricity(kBtu),NaturalGas(kBtu),None,723.47
47.7066,-122.321,47012.0,0.0,0.0,100.0,,NonResidential,Other,98125.0,5,North,1.0,3,Other/Specialty Hospital,None,None,Compliant,52,NaturalGas(kBtu),Electricity(kBtu),None,231.53
47.70619,-122.32586,122000.0,0.0,0.0,100.0,76.0,NonResidential,Retail Store,98125.0,5,North,1.0,4,Retail Store,None,None,Compliant,51,Electricity(kBtu),NaturalGas(kBtu),None,66.3
47.70956,-122.3345,28636.0,15385.0,8644.0,100.0,72.0,NonResidential,Other,98133.0,5,Northwest,1.0,3,Financial Office,Parking,Medical Office,Compliant,20,Electricity(kBtu),NaturalGas(kBtu),None,83.7
47.61233,-122.3171,85521.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98122.0,3,East,1.0,5,Self-Storage Facility,None,None,Compliant,106,NaturalGas(kBtu),Electricity(kBtu),None,51.11
47.55152,-122.31869,114297.0,0.0,0.0,100.0,61.0,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,4,Non-Refrigerated Warehouse,None,None,Compliant,112,NaturalGas(kBtu),Electricity(kBtu),None,69.44
47.55901,-122.33328,234144.0,0.0,0.0,100.0,87.0,NonResidential,Warehouse,98134.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,79,NaturalGas(kBtu),Electricity(kBtu),None,297.43
47.52254,-122.36627,65425.0,0.0,0.0,100.0,72.0,NonResidential,Retail Store,98126.0,1,Delridge,1.0,1,Retail Store,None,None,Compliant,50,Electricity(kBtu),NaturalGas(kBtu),None,35.78
47.52254,-122.36627,67782.0,0.0,0.0,100.0,37.0,NonResidential,Retail Store,98126.0,1,Delridge,1.0,1,Retail Store,None,None,Compliant,51,NaturalGas(kBtu),Electricity(kBtu),None,369.14
47.67767,-122.39631,56000.0,0.0,0.0,100.0,,NonResidential,Other,98117.0,6,Ballard,1.0,3,Other,None,None,Compliant,43,NaturalGas(kBtu),Electricity(kBtu),None,59.34
47.54508,-122.37737,52088.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98126.0,1,Southwest,1.0,2,Self-Storage Facility,None,None,Compliant,47,NaturalGas(kBtu),Electricity(kBtu),None,48.99
47.62972,-122.32906,123920.0,30000.0,0.0,75.791,79.0,NonResidential,Hotel,98109.0,3,Lake Union,1.0,5,Hotel,Parking,Swimming Pool,Compliant,18,NaturalGas(kBtu),Electricity(kBtu),None,309.6
47.62759,-122.33661,43000.0,0.0,0.0,100.0,,Nonresidential COS,Other,98109.0,3,Lake Union,1.0,1,Museum,None,None,Compliant,116,Electricity(kBtu),NaturalGas(kBtu),None,225.69
47.62591,-122.34084,42345.0,5000.0,4730.0,100.0,,Nonresidential COS,Warehouse,98109.0,7,Magnolia / Queen Anne,1.0,2,Non-Refrigerated Warehouse,Residence Hall/Dormitory,Office,Compliant,90,Electricity(kBtu),None,None,3.0
47.62782,-122.34045,141591.0,0.0,0.0,73.831,76.0,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,7,Hotel,None,None,Compliant,18,NaturalGas(kBtu),Electricity(kBtu),None,338.16
47.70044,-122.34136,57968.0,32881.0,11850.0,100.0,,Nonresidential COS,Small- and Mid-Sized Office,98103.0,5,Northwest,1.0,2,Office,Distribution Center,Parking,Compliant,59,Electricity(kBtu),NaturalGas(kBtu),None,175.77
47.70916,-122.33216,64893.0,0.0,0.0,100.0,70.0,NonResidential,Hotel,98133.0,5,Northwest,1.0,4,Hotel,None,None,Compliant,48,NaturalGas(kBtu),Electricity(kBtu),None,208.26
47.60105,-122.33518,34416.0,7672.0,2470.0,100.0,78.0,NonResidential,Small- and Mid-Sized Office,98104.0,7,Downtown,1.0,3,Office,Self-Storage Facility,Restaurant,Compliant,116,Electricity(kBtu),NaturalGas(kBtu),None,28.27
47.59544,-122.33159,1585960.0,0.0,0.0,79.339,,NonResidential,Other,98134.0,2,Greater Duwamish,1.0,6,Other - Entertainment/Public Assembly,Parking,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,892.63
47.57199,-122.32811,117476.0,37321.0,25543.0,100.0,,Nonresidential COS,Distribution Center,98134.0,2,Greater Duwamish,1.0,2,Distribution Center,Office,Other,Compliant,92,Electricity(kBtu),NaturalGas(kBtu),None,96.43
47.57199,-122.32811,40831.0,16735.0,11533.0,100.0,,Nonresidential COS,Warehouse,98134.0,2,Greater Duwamish,1.0,2,Non-Refrigerated Warehouse,Other - Services,Office,Compliant,51,Electricity(kBtu),None,None,27.39
47.59085,-122.33354,1172127.0,0.0,0.0,100.0,,NonResidential,Other,98134.0,2,Greater Duwamish,1.0,3,Other - Entertainment/Public Assembly,None,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,1246.55
47.59269,-122.33372,135006.0,20600.0,9216.0,91.352,64.0,NonResidential,Hotel,98134.0,2,Greater Duwamish,1.0,9,Hotel,Parking,Food Service,Compliant,11,NaturalGas(kBtu),Electricity(kBtu),None,388.37
47.70281,-122.32532,335109.0,65000.0,13567.0,20.183,,NonResidential,Other,98125.0,5,North,1.0,6,Parking,Movie Theater,Medical Office,Compliant,8,Electricity(kBtu),NaturalGas(kBtu),None,162.41
47.6239,-122.35756,58563.0,48520.0,29839.0,100.0,,NonResidential,Mixed Use Property,98119.0,7,Magnolia / Queen Anne,1.0,4,Multifamily Housing,Supermarket/Grocery Store,Parking,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,92.91
47.61275,-122.3333,495536.0,438756.0,49700.0,100.0,,NonResidential,Hotel,98101.0,7,Downtown,1.0,0,Hotel,Parking,Restaurant,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,1638.46
47.65097,-122.34227,67236.0,8161.0,0.0,89.176,91.0,NonResidential,Warehouse,98103.0,4,Lake Union,1.0,3,Non-Refrigerated Warehouse,Parking,None,Compliant,25,Electricity(kBtu),NaturalGas(kBtu),None,9.63
47.59626,-122.3218,55259.0,40091.0,3231.0,87.732,,NonResidential,Senior Care Community,98104.0,2,Downtown,1.0,5,Senior Care Community,Medical Office,K-12 School,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,193.94
47.66568,-122.31368,55500.0,0.0,0.0,100.0,98.0,NonResidential,K-12 School,98105.0,4,Northeast,1.0,2,K-12 School,None,None,Compliant,88,NaturalGas(kBtu),Electricity(kBtu),None,72.88
47.66151,-122.31457,106860.0,0.0,0.0,100.0,49.0,NonResidential,Hotel,98105.0,4,Northeast,1.0,16,Hotel,None,None,Compliant,85,NaturalGas(kBtu),Electricity(kBtu),None,469.57
47.71895,-122.29475,47079.0,3680.0,0.0,100.0,62.0,NonResidential,Small- and Mid-Sized Office,98125.0,5,North,1.0,5,Office,Restaurant,None,Compliant,44,Electricity(kBtu),NaturalGas(kBtu),None,49.09
