Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),ENERGYSTARScore,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,TotalGHGEmissions
47.61935,-122.33389,726000.0,0.0,0.0,100.0,8.0,NonResidential,Senior Care Community,98109.0,7,Lake Union,1.0,14,Senior Care Community,None,None,Compliant,10,Electricity(kBtu),NaturalGas(kBtu),None,913.07
47.53439,-122.37699,18278.0,15212.0,0.0,100.0,96.0,NonResidential,Worship Facility,98106.0,1,Southwest,1.0,1,Worship Facility,Office,None,Compliant,59,Electricity(kBtu),None,None,3.71
47.65804,-122.36537,10292.0,10200.0,0.0,100.0,,NonResidential,Small- and Mid-Sized Office,98107.0,6,Ballard,1.0,4,Office,Other,None,Compliant,17,Electricity(kBtu),None,None,6.35
47.56067,-122.32646,18373.0,2728.0,0.0,100.0,,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,Office,None,Compliant,27,NaturalGas(kBtu),Electricity(kBtu),None,27.97
47.56067,-122.32705,45594.0,0.0,0.0,100.0,75.0,NonResidential,Refrigerated Warehouse,98108.0,2,Greater Duwamish,1.0,2,Refrigerated Warehouse,None,None,Compliant,102,Electricity(kBtu),None,None,9.42
47.55013,-122.33044,26660.0,0.0,0.0,100.0,,NonResidential,Other,98108.0,2,Greater Duwamish,1.0,1,Manufacturing/Industrial Plant,None,None,Compliant,66,Electricity(kBtu),None,None,15.62
47.56056,-122.32593,21780.0,6346.0,0.0,100.0,44.0,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,Office,None,Compliant,41,Electricity(kBtu),NaturalGas(kBtu),None,18.63
47.54813,-122.32553,35000.0,0.0,0.0,100.0,53.0,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,52,Electricity(kBtu),None,None,2.64
47.54948,-122.32536,26150.0,0.0,0.0,100.0,6.0,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,54,Electricity(kBtu),NaturalGas(kBtu),None,26.55
47.54974,-122.3261,24000.0,0.0,0.0,100.0,73.0,NonResidential,Small- and Mid-Sized Office,98108.0,2,Greater Duwamish,1.0,2,Office,None,None,Compliant,49,Electricity(kBtu),None,None,7.59
47.64132,-122.31644,40809.0,0.0,0.0,100.0,38.0,NonResidential,K-12 School,98102.0,3,East,1.0,5,K-12 School,None,None,Compliant,48,Electricity(kBtu),NaturalGas(kBtu),None,73.26
47.65791,-122.34274,25580.0,2500.0,0.0,100.0,,NonResidential,Distribution Center,98103.0,4,Lake Union,1.0,1,Distribution Center,Office,None,Compliant,104,Electricity(kBtu),NaturalGas(kBtu),None,18.54
47.72618,-122.35642,51298.0,0.0,0.0,100.0,85.0,NonResidential,Senior Care Community,98133.0,5,Northwest,1.0,2,Senior Care Community,None,None,Compliant,62,NaturalGas(kBtu),Electricity(kBtu),None,203.73
