OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Verified_Coordinates,Coordinates_Match,Latitude_err,Longitude_err
102,2016,NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,Seattle,WA,98109.0,1984200065,3,LAKE UNION,47.62642,-122.33325,1990,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,37.0,82.5,85.59999847,184.0,189.1999969,19459304.0,20194606.0,0.0,3218245.0,10980652.0,84786.50781,8478651.0,False,Compliant,526.85,1.86,"(47.62653, -122.33329)",False,0.00010999999999938836,-3.999999999848569e-05
103,2016,Nonresidential COS,Other,Key Arena,334 1st Ave. N,Seattle,WA,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1.0,1,389000,0,389000,Other,Other,368000.0,,,,64.30000305,64.5,151.6000061,152.1000061,23658978.0,23736924.0,6093150.0,4226010.0,14419146.0,6886.799805,688680.0,False,Compliant,607.41,1.56,"(47.6219, -122.35399)",False,-0.00018000000000029104,-9.999999988963282e-06
104,2016,Nonresidential COS,Other,Bagley Wright Theatre,151 Mercer St.,Seattle,WA,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1.0,1,91213,0,91213,Other,Other,65000.0,,,,125.1999969,125.9000015,261.7000122,265.3999939,8141155.5,8181881.0,4120130.0,1100268.125,3754115.0,0.0,0.0,False,Compliant,344.2,3.77,"(47.62449, -122.35474)",False,0.002410000000004686,-0.0007599999999996498
106,2016,Nonresidential COS,Other,Armory,305 Harrison St.,Seattle,WA,98109.0,1985200305,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,1.0,5,396085,0,396085,Other,Other,278500.0,,,,75.19999695,76.30000305,138.1000061,140.0,20955026.0,21257836.0,9763690.0,2125534.75,7252325.0,0.0,0.0,False,Compliant,804.2,2.03,"(47.62146, -122.35099)",False,-0.0006199999999978445,0.0029900000000111504
107,2016,NonResidential,Large Office,City Place IV - SEDO,333 Boren Ave. N.,Seattle,WA,98109.0,1986200410,7,LAKE UNION,47.62112,-122.33629,2010,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,Parking,310699.0,91.0,63.40000153,64.19999695,174.1999969,176.3999939,39605888.0,40153432.0,0.0,9439097.0,32206199.0,73996.85156,7399685.0,False,Compliant,617.52,1.08,"(47.62125, -122.33625)",False,0.00013000000000573664,3.999999999848569e-05
110,2016,Nonresidential COS,Other,Exhibition Hall,225 Mercer St.,Seattle,WA,98109.0,1988200440,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,1.0,2,52000,0,52000,Other,Other,52000.0,,,,52.40000153,51.59999847,110.4000015,109.5,2726369.0,2682242.75,1202380.0,379058.9063,1293349.0,0.0,0.0,False,Compliant,101.83,1.96,"(47.62421, -122.35165)",False,0.0002599999999972624,-0.0008800000000093178
111,2016,Nonresidential COS,Other,Mercer Arena,363 Mercer St.,Seattle,WA,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,1.0,1,60696,0,60696,Other,Other,108000.0,,,,8.100000381,8.100000381,25.5,25.5,875943.3125,875943.3125,0.0,256724.2969,875943.0,0.0,0.0,False,Compliant,6.11,0.1,"(47.624, -122.34945)",False,5.000000000165983e-05,0.0013199999999926604
112,2016,Nonresidential COS,Other,McCaw Hall,321 Mercer St.,Seattle,WA,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,1.0,2,262048,0,262048,Other,Other,296000.0,,,,70.0,70.30000305,171.1999969,175.1999969,20723248.0,20823520.0,5137220.0,3960341.75,13512686.0,0.0,0.0,False,Compliant,490.73,1.87,"(47.62398, -122.35039)",False,3.0000000002416982e-05,0.0010399999999890497
113,2016,NonResidential,Small- and Mid-Sized Office,KCTS9,401 Mercer St,Seattle,WA,98109.0,1988200705,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,Data Center,5181.0,,74.90000153,75.40000153,235.1999969,236.6000061,4166306.25,4192107.75,0.0,1221074.25,4166305.0,0.0,0.0,False,Compliant,29.04,0.44,"(47.62397, -122.34836)",False,5.999999999772854e-05,1.0000000003174137e-05
114,2016,NonResidential,Large Office,Bill and Melinda Gates Foundation,500 5th Ave N,Seattle,WA,98109.0,1988201155,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,Parking,185014.0,93.0,49.79999924,51.79999924,130.8000031,131.6000061,36667044.0,38105108.0,0.0,8088294.5,27597261.0,90697.79688,9069780.0,False,Compliant,674.09,0.73,"(47.62324, -122.34619)",False,-0.0009499999999960096,-0.0017600000000044247
